t,delta,omega,delta_dev,omega_dev
1.326,0.71999,1.00013,-0.00973795,0.000130732
1.327,0.720031,1.00013,-0.00969687,0.000130819
1.328,0.720072,1.00013,-0.00965575,0.000130905
1.329,0.720113,1.00013,-0.00961462,0.00013099
1.33,0.720154,1.00013,-0.00957345,0.000131072
1.331,0.720195,1.00013,-0.00953226,0.000131153
1.332,0.720237,1.00013,-0.00949105,0.000131233
1.333,0.720278,1.00013,-0.00944981,0.00013131
1.334,0.720319,1.00013,-0.00940854,0.000131386
1.335,0.72036,1.00013,-0.00936725,0.000131461
1.336,0.720402,1.00013,-0.00932594,0.000131534
1.337,0.720443,1.00013,-0.00928461,0.000131605
1.338,0.720484,1.00013,-0.00924325,0.000131674
1.339,0.720526,1.00013,-0.00920188,0.000131742
1.34,0.720567,1.00013,-0.00916048,0.000131808
1.341,0.720609,1.00013,-0.00911906,0.000131873
1.342,0.72065,1.00013,-0.00907762,0.000131936
1.343,0.720691,1.00013,-0.00903616,0.000131998
1.344,0.720733,1.00013,-0.00899468,0.000132057
1.345,0.720774,1.00013,-0.00895319,0.000132115
1.346,0.720816,1.00013,-0.00891167,0.000132172
1.347,0.720858,1.00013,-0.00887014,0.000132227
1.348,0.720899,1.00013,-0.00882859,0.00013228
1.349,0.720941,1.00013,-0.00878703,0.000132332
1.35,0.720982,1.00013,-0.00874545,0.000132382
1.351,0.721024,1.00013,-0.00870385,0.000132431
1.352,0.721065,1.00013,-0.00866224,0.000132478
1.353,0.721107,1.00013,-0.00862061,0.000132523
1.354,0.721149,1.00013,-0.00857897,0.000132567
1.355,0.72119,1.00013,-0.00853732,0.000132609
1.356,0.721232,1.00013,-0.00849565,0.00013265
1.357,0.721274,1.00013,-0.00845397,0.000132689
1.358,0.721315,1.00013,-0.00841228,0.000132726
1.359,0.721357,1.00013,-0.00837058,0.000132762
1.36,0.721399,1.00013,-0.00832886,0.000132796
1.361,0.721441,1.00013,-0.00828714,0.000132829
1.362,0.721482,1.00013,-0.0082454,0.00013286
1.363,0.721524,1.00013,-0.00820366,0.00013289
1.364,0.721566,1.00013,-0.00816191,0.000132918
1.365,0.721608,1.00013,-0.00812015,0.000132944
1.366,0.721649,1.00013,-0.00807838,0.000132969
1.367,0.721691,1.00013,-0.0080366,0.000132992
1.368,0.721733,1.00013,-0.00799481,0.000133014
1.369,0.721775,1.00013,-0.00795302,0.000133034
1.37,0.721816,1.00013,-0.00791123,0.000133053
1.371,0.721858,1.00013,-0.00786942,0.00013307
1.372,0.7219,1.00013,-0.00782762,0.000133086
1.373,0.721942,1.00013,-0.0077858,0.0001331
1.374,0.721984,1.00013,-0.00774399,0.000133113
1.375,0.722025,1.00013,-0.00770217,0.000133124
1.376,0.722067,1.00013,-0.00766034,0.000133133
1.377,0.722109,1.00013,-0.00761852,0.000133141
1.378,0.722151,1.00013,-0.00757669,0.000133147
1.379,0.722193,1.00013,-0.00753486,0.000133152
1.38,0.722235,1.00013,-0.00749303,0.000133156
1.381,0.722276,1.00013,-0.00745119,0.000133158
1.382,0.722318,1.00013,-0.00740936,0.000133158
1.383,0.72236,1.00013,-0.00736753,0.000133157
1.384,0.722402,1.00013,-0.0073257,0.000133154
1.385,0.722444,1.00013,-0.00728387,0.00013315
1.386,0.722486,1.00013,-0.00724204,0.000133145
1.387,0.722527,1.00013,-0.00720021,0.000133138
1.388,0.722569,1.00013,-0.00715838,0.000133129
1.389,0.722611,1.00013,-0.00711656,0.000133119
1.39,0.722653,1.00013,-0.00707474,0.000133107
1.391,0.722695,1.00013,-0.00703293,0.000133094
1.392,0.722737,1.00013,-0.00699112,0.00013308
1.393,0.722778,1.00013,-0.00694931,0.000133064
1.394,0.72282,1.00013,-0.00690751,0.000133046
1.395,0.722862,1.00013,-0.00686572,0.000133027
1.396,0.722904,1.00013,-0.00682393,0.000133007
1.397,0.722946,1.00013,-0.00678214,0.000132985
1.398,0.722987,1.00013,-0.00674037,0.000132962
1.399,0.723029,1.00013,-0.0066986,0.000132937
1.4,0.723071,1.00013,-0.00665684,0.000132911
1.401,0.723113,1.00013,-0.00661509,0.000132883
1.402,0.723154,1.00013,-0.00657335,0.000132854
1.403,0.723196,1.00013,-0.00653162,0.000132823
1.404,0.723238,1.00013,-0.0064899,0.000132791
1.405,0.723279,1.00013,-0.00644818,0.000132758
1.406,0.723321,1.00013,-0.00640648,0.000132723
1.407,0.723363,1.00013,-0.00636479,0.000132687
1.408,0.723405,1.00013,-0.00632311,0.000132649
1.409,0.723446,1.00013,-0.00628144,0.00013261
1.41,0.723488,1.00013,-0.00623979,0.000132569
1.411,0.72353,1.00013,-0.00619815,0.000132527
1.412,0.723571,1.00013,-0.00615652,0.000132484
1.413,0.723613,1.00013,-0.00611491,0.000132439
1.414,0.723654,1.00013,-0.00607331,0.000132393
1.415,0.723696,1.00013,-0.00603172,0.000132345
1.416,0.723737,1.00013,-0.00599015,0.000132296
1.417,0.723779,1.00013,-0.0059486,0.000132246
1.418,0.723821,1.00013,-0.00590706,0.000132194
1.419,0.723862,1.00013,-0.00586554,0.000132141
1.42,0.723904,1.00013,-0.00582403,0.000132086
1.421,0.723945,1.00013,-0.00578255,0.00013203
1.422,0.723987,1.00013,-0.00574108,0.000131973
1.423,0.724028,1.00013,-0.00569962,0.000131914
1.424,0.724069,1.00013,-0.00565819,0.000131854
1.425,0.724111,1.00013,-0.00561678,0.000131793
1.426,0.724152,1.00013,-0.00557538,0.00013173
1.427,0.724194,1.00013,-0.00553401,0.000131666
1.428,0.724235,1.00013,-0.00549266,0.0001316
1.429,0.724276,1.00013,-0.00545132,0.000131534
1.43,0.724318,1.00013,-0.00541001,0.000131465
1.431,0.724359,1.00013,-0.00536872,0.000131396
1.432,0.7244,1.00013,-0.00532745,0.000131325
1.433,0.724441,1.00013,-0.00528621,0.000131253
1.434,0.724483,1.00013,-0.00524499,0.000131179
1.435,0.724524,1.00013,-0.00520379,0.000131104
1.436,0.724565,1.00013,-0.00516261,0.000131028
1.437,0.724606,1.00013,-0.00512146,0.00013095
1.438,0.724647,1.00013,-0.00508033,0.000130871
1.439,0.724688,1.00013,-0.00503923,0.000130791
1.44,0.724729,1.00013,-0.00499815,0.000130709
1.441,0.724771,1.00013,-0.0049571,0.000130627
1.442,0.724812,1.00013,-0.00491608,0.000130542
1.443,0.724853,1.00013,-0.00487508,0.000130457
1.444,0.724894,1.00013,-0.00483411,0.00013037
1.445,0.724934,1.00013,-0.00479317,0.000130282
1.446,0.724975,1.00013,-0.00475225,0.000130193
1.447,0.725016,1.00013,-0.00471136,0.000130102
1.448,0.725057,1.00013,-0.00467051,0.00013001
1.449,0.725098,1.00013,-0.00462968,0.000129917
1.45,0.725139,1.00013,-0.00458888,0.000129822
1.451,0.72518,1.00013,-0.00454811,0.000129727
1.452,0.72522,1.00013,-0.00450737,0.00012963
1.453,0.725261,1.00013,-0.00446666,0.000129531
1.454,0.725302,1.00013,-0.00442598,0.000129432
1.455,0.725342,1.00013,-0.00438533,0.000129331
1.456,0.725383,1.00013,-0.00434472,0.000129229
1.457,0.725424,1.00013,-0.00430414,0.000129126
1.458,0.725464,1.00013,-0.00426359,0.000129021
1.459,0.725505,1.00013,-0.00422307,0.000128915
1.46,0.725545,1.00013,-0.00418259,0.000128808
1.461,0.725586,1.00013,-0.00414214,0.0001287
1.462,0.725626,1.00013,-0.00410172,0.00012859
1.463,0.725666,1.00013,-0.00406134,0.000128479
1.464,0.725707,1.00013,-0.004021,0.000128367
1.465,0.725747,1.00013,-0.00398069,0.000128254
1.466,0.725787,1.00013,-0.00394041,0.00012814
1.467,0.725827,1.00013,-0.00390018,0.000128024
1.468,0.725868,1.00013,-0.00385997,0.000127907
1.469,0.725908,1.00013,-0.00381981,0.000127789
1.47,0.725948,1.00013,-0.00377968,0.00012767
1.471,0.725988,1.00013,-0.00373959,0.000127549
1.472,0.726028,1.00013,-0.00369954,0.000127428
1.473,0.726068,1.00013,-0.00365953,0.000127305
1.474,0.726108,1.00013,-0.00361955,0.000127181
1.475,0.726148,1.00013,-0.00357962,0.000127055
1.476,0.726188,1.00013,-0.00353972,0.000126929
1.477,0.726228,1.00013,-0.00349987,0.000126801
1.478,0.726268,1.00013,-0.00346005,0.000126673
1.479,0.726307,1.00013,-0.00342027,0.000126543
1.48,0.726347,1.00013,-0.00338054,0.000126412
1.481,0.726387,1.00013,-0.00334085,0.000126279
1.482,0.726426,1.00013,-0.0033012,0.000126146
1.483,0.726466,1.00013,-0.00326159,0.000126011
1.484,0.726506,1.00013,-0.00322202,0.000125876
1.485,0.726545,1.00013,-0.0031825,0.000125739
1.486,0.726585,1.00013,-0.00314302,0.000125601
1.487,0.726624,1.00013,-0.00310358,0.000125461
1.488,0.726663,1.00013,-0.00306419,0.000125321
1.489,0.726703,1.00013,-0.00302484,0.00012518
1.49,0.726742,1.00013,-0.00298554,0.000125037
1.491,0.726781,1.00012,-0.00294628,0.000124894
1.492,0.726821,1.00012,-0.00290706,0.000124749
1.493,0.72686,1.00012,-0.0028679,0.000124603
1.494,0.726899,1.00012,-0.00282877,0.000124456
1.495,0.726938,1.00012,-0.0027897,0.000124308
1.496,0.726977,1.00012,-0.00275067,0.000124158
1.497,0.727016,1.00012,-0.00271169,0.000124008
1.498,0.727055,1.00012,-0.00267275,0.000123857
1.499,0.727094,1.00012,-0.00263387,0.000123704
1.5,0.727133,1.00012,-0.00259503,0.000123551
1.501,0.727171,1.00012,-0.00255624,0.000123396
1.502,0.72721,1.00012,-0.00251749,0.00012324
1.503,0.727249,1.00012,-0.0024788,0.000123083
1.504,0.727287,1.00012,-0.00244016,0.000122925
1.505,0.727326,1.00012,-0.00240157,0.000122766
1.506,0.727365,1.00012,-0.00236302,0.000122606
1.507,0.727403,1.00012,-0.00232453,0.000122445
1.508,0.727442,1.00012,-0.00228609,0.000122283
1.509,0.72748,1.00012,-0.0022477,0.00012212
1.51,0.727518,1.00012,-0.00220936,0.000121956
1.511,0.727557,1.00012,-0.00217107,0.00012179
1.512,0.727595,1.00012,-0.00213284,0.000121624
1.513,0.727633,1.00012,-0.00209465,0.000121456
1.514,0.727671,1.00012,-0.00205652,0.000121288
1.515,0.727709,1.00012,-0.00201845,0.000121119
1.516,0.727747,1.00012,-0.00198042,0.000120948
1.517,0.727785,1.00012,-0.00194245,0.000120777
1.518,0.727823,1.00012,-0.00190454,0.000120604
1.519,0.727861,1.00012,-0.00186667,0.000120431
1.52,0.727899,1.00012,-0.00182887,0.000120256
1.521,0.727937,1.00012,-0.00179111,0.000120081
1.522,0.727974,1.00012,-0.00175342,0.000119904
1.523,0.728012,1.00012,-0.00171578,0.000119727
1.524,0.728049,1.00012,-0.00167819,0.000119548
1.525,0.728087,1.00012,-0.00164066,0.000119369
1.526,0.728124,1.00012,-0.00160319,0.000119188
1.527,0.728162,1.00012,-0.00156577,0.000119007
1.528,0.728199,1.00012,-0.00152842,0.000118824
1.529,0.728237,1.00012,-0.00149112,0.000118641
1.53,0.728274,1.00012,-0.00145387,0.000118456
1.531,0.728311,1.00012,-0.00141669,0.000118271
1.532,0.728348,1.00012,-0.00137956,0.000118085
1.533,0.728385,1.00012,-0.00134249,0.000117897
1.534,0.728422,1.00012,-0.00130548,0.000117709
1.535,0.728459,1.00012,-0.00126853,0.00011752
1.536,0.728496,1.00012,-0.00123164,0.00011733
1.537,0.728533,1.00012,-0.00119481,0.000117139
1.538,0.72857,1.00012,-0.00115804,0.000116947
1.539,0.728606,1.00012,-0.00112133,0.000116754
1.54,0.728643,1.00012,-0.00108468,0.00011656
1.541,0.72868,1.00012,-0.0010481,0.000116365
1.542,0.728716,1.00012,-0.00101157,0.00011617
1.543,0.728753,1.00012,-0.000975105,0.000115973
1.544,0.728789,1.00012,-0.000938702,0.000115776
1.545,0.728825,1.00012,-0.000902361,0.000115577
1.546,0.728862,1.00012,-0.000866083,0.000115378
1.547,0.728898,1.00012,-0.000829867,0.000115178
1.548,0.728934,1.00011,-0.000793715,0.000114977
1.549,0.72897,1.00011,-0.000757625,0.000114775
1.55,0.729006,1.00011,-0.0007216,0.000114572
1.551,0.729042,1.00011,-0.000685638,0.000114368
1.552,0.729078,1.00011,-0.00064974,0.000114163
1.553,0.729114,1.00011,-0.000613907,0.000113958
1.554,0.72915,1.00011,-0.000578139,0.000113752
1.555,0.729185,1.00011,-0.000542435,0.000113544
1.556,0.729221,1.00011,-0.000506797,0.000113336
1.557,0.729256,1.00011,-0.000471224,0.000113127
1.558,0.729292,1.00011,-0.000435717,0.000112917
1.559,0.729327,1.00011,-0.000400276,0.000112707
1.56,0.729363,1.00011,-0.000364901,0.000112495
1.561,0.729398,1.00011,-0.000329593,0.000112283
1.562,0.729433,1.00011,-0.000294352,0.00011207
1.563,0.729468,1.00011,-0.000259178,0.000111856
1.564,0.729504,1.00011,-0.000224071,0.000111641
1.565,0.729539,1.00011,-0.000189032,0.000111425
1.566,0.729574,1.00011,-0.000154061,0.000111209
1.567,0.729608,1.00011,-0.000119158,0.000110991
1.568,0.729643,1.00011,-8.43229e-05,0.000110773
1.569,0.729678,1.00011,-4.95568e-05,0.000110554
1.57,0.729713,1.00011,-1.48597e-05,0.000110334
1.571,0.729747,1.00011,1.97683e-05,0.000110114
1.572,0.729782,1.00011,5.43269e-05,0.000109893
1.573,0.729816,1.00011,8.88158e-05,0.000109671
1.574,0.729851,1.00011,0.000123235,0.000109448
1.575,0.729885,1.00011,0.000157584,0.000109224
1.576,0.72992,1.00011,0.000191862,0.000108999
1.577,0.729954,1.00011,0.00022607,0.000108774
1.578,0.729988,1.00011,0.000260207,0.000108548
1.579,0.730022,1.00011,0.000294273,0.000108321
1.58,0.730056,1.00011,0.000328267,0.000108094
1.581,0.73009,1.00011,0.00036219,0.000107866
1.582,0.730124,1.00011,0.000396041,0.000107636
1.583,0.730157,1.00011,0.00042982,0.000107407
1.584,0.730191,1.00011,0.000463526,0.000107176
1.585,0.730225,1.00011,0.00049716,0.000106945
1.586,0.730258,1.00011,0.000530722,0.000106713
1.587,0.730292,1.00011,0.00056421,0.00010648
1.588,0.730325,1.00011,0.000597625,0.000106246
1.589,0.730359,1.00011,0.000630967,0.000106012
1.59,0.730392,1.00011,0.000664234,0.000105777
1.591,0.730425,1.00011,0.000697428,0.000105542
1.592,0.730458,1.00011,0.000730548,0.000105305
1.593,0.730491,1.00011,0.000763593,0.000105068
1.594,0.730524,1.0001,0.000796564,0.00010483
1.595,0.730557,1.0001,0.00082946,0.000104592
1.596,0.73059,1.0001,0.000862281,0.000104353
1.597,0.730623,1.0001,0.000895027,0.000104113
1.598,0.730655,1.0001,0.000927697,0.000103872
1.599,0.730688,1.0001,0.000960292,0.000103631
1.6,0.73072,1.0001,0.00099281,0.000103389
1.601,0.730753,1.0001,0.00102525,0.000103146
1.602,0.730785,1.0001,0.00105762,0.000102903
1.603,0.730818,1.0001,0.00108991,0.000102659
1.604,0.73085,1.0001,0.00112212,0.000102414
1.605,0.730882,1.0001,0.00115426,0.000102169
1.606,0.730914,1.0001,0.00118632,0.000101923
1.607,0.730946,1.0001,0.0012183,0.000101677
1.608,0.730978,1.0001,0.0012502,0.000101429
1.609,0.73101,1.0001,0.00128203,0.000101182
1.61,0.731041,1.0001,0.00131378,0.000100933
1.611,0.731073,1.0001,0.00134545,0.000100684
1.612,0.731105,1.0001,0.00137704,0.000100434
1.613,0.731136,1.0001,0.00140855,0.000100184
1.614,0.731168,1.0001,0.00143998,9.99326e-05
1.615,0.731199,1.0001,0.00147134,9.96809e-05
1.616,0.73123,1.0001,0.00150262,9.94287e-05
1.617,0.731261,1.0001,0.00153381,9.91758e-05
1.618,0.731293,1.0001,0.00156493,9.89223e-05
1.619,0.731324,1.0001,0.00159597,9.86682e-05
1.62,0.731355,1.0001,0.00162692,9.84135e-05
1.621,0.731385,1.0001,0.0016578,9.81582e-05
1.622,0.731416,1.0001,0.0016886,9.79023e-05
1.623,0.731447,1.0001,0.00171932,9.76459e-05
1.624,0.731478,1.0001,0.00174995,9.73888e-05
1.625,0.731508,1.0001,0.00178051,9.71312e-05
1.626,0.731539,1.0001,0.00181098,9.6873e-05
1.627,0.731569,1.0001,0.00184137,9.66142e-05
1.628,0.731599,1.0001,0.00187169,9.63549e-05
1.629,0.73163,1.0001,0.00190192,9.6095e-05
1.63,0.73166,1.0001,0.00193206,9.58345e-05
1.631,0.73169,1.0001,0.00196213,9.55735e-05
1.632,0.73172,1.0001,0.00199211,9.5312e-05
1.633,0.73175,1.0001,0.00202202,9.50499e-05
1.634,0.731779,1.00009,0.00205184,9.47872e-05
1.635,0.731809,1.00009,0.00208157,9.4524e-05
1.636,0.731839,1.00009,0.00211123,9.42603e-05
1.637,0.731868,1.00009,0.0021408,9.39961e-05
1.638,0.731898,1.00009,0.00217029,9.37313e-05
1.639,0.731927,1.00009,0.00219969,9.3466e-05
1.64,0.731957,1.00009,0.00222901,9.32002e-05
1.641,0.731986,1.00009,0.00225825,9.29339e-05
1.642,0.732015,1.00009,0.0022874,9.2667e-05
1.643,0.732044,1.00009,0.00231647,9.23997e-05
1.644,0.732073,1.00009,0.00234546,9.21319e-05
1.645,0.732102,1.00009,0.00237436,9.18635e-05
1.646,0.732131,1.00009,0.00240318,9.15947e-05
1.647,0.73216,1.00009,0.00243191,9.13254e-05
1.648,0.732188,1.00009,0.00246056,9.10556e-05
1.649,0.732217,1.00009,0.00248913,9.07853e-05
1.65,0.732245,1.00009,0.0025176,9.05145e-05
1.651,0.732274,1.00009,0.002546,9.02433e-05
1.652,0.732302,1.00009,0.00257431,8.99716e-05
1.653,0.73233,1.00009,0.00260253,8.96994e-05
1.654,0.732358,1.00009,0.00263067,8.94268e-05
1.655,0.732386,1.00009,0.00265872,8.91537e-05
1.656,0.732414,1.00009,0.00268668,8.88802e-05
1.657,0.732442,1.00009,0.00271456,8.86062e-05
1.658,0.73247,1.00009,0.00274235,8.83317e-05
1.659,0.732498,1.00009,0.00277006,8.80569e-05
1.66,0.732525,1.00009,0.00279768,8.77815e-05
1.661,0.732553,1.00009,0.00282522,8.75058e-05
1.662,0.73258,1.00009,0.00285266,8.72296e-05
1.663,0.732608,1.00009,0.00288002,8.6953e-05
1.664,0.732635,1.00009,0.0029073,8.6676e-05
1.665,0.732662,1.00009,0.00293448,8.63986e-05
1.666,0.732689,1.00009,0.00296158,8.61207e-05
1.667,0.732716,1.00009,0.0029886,8.58424e-05
1.668,0.732743,1.00009,0.00301552,8.55638e-05
1.669,0.73277,1.00009,0.00304236,8.52847e-05
1.67,0.732797,1.00009,0.00306911,8.50052e-05
1.671,0.732823,1.00008,0.00309577,8.47254e-05
1.672,0.73285,1.00008,0.00312234,8.44451e-05
1.673,0.732876,1.00008,0.00314883,8.41645e-05
1.674,0.732903,1.00008,0.00317522,8.38835e-05
1.675,0.732929,1.00008,0.00320153,8.36021e-05
1.676,0.732955,1.00008,0.00322775,8.33203e-05
1.677,0.732982,1.00008,0.00325388,8.30382e-05
1.678,0.733008,1.00008,0.00327993,8.27557e-05
1.679,0.733034,1.00008,0.00330588,8.24728e-05
1.68,0.733059,1.00008,0.00333174,8.21896e-05
1.681,0.733085,1.00008,0.00335752,8.1906e-05
1.682,0.733111,1.00008,0.00338321,8.16221e-05
1.683,0.733136,1.00008,0.00340881,8.13378e-05
1.684,0.733162,1.00008,0.00343431,8.10532e-05
1.685,0.733187,1.00008,0.00345973,8.07682e-05
1.686,0.733213,1.00008,0.00348506,8.04829e-05
1.687,0.733238,1.00008,0.0035103,8.01973e-05
1.688,0.733263,1.00008,0.00353545,7.99114e-05
1.689,0.733288,1.00008,0.00356051,7.96251e-05
1.69,0.733313,1.00008,0.00358548,7.93385e-05
1.691,0.733338,1.00008,0.00361036,7.90516e-05
1.692,0.733363,1.00008,0.00363515,7.87644e-05
1.693,0.733388,1.00008,0.00365985,7.84769e-05
1.694,0.733412,1.00008,0.00368446,7.8189e-05
1.695,0.733437,1.00008,0.00370898,7.79009e-05
1.696,0.733461,1.00008,0.00373341,7.76125e-05
1.697,0.733485,1.00008,0.00375774,7.73238e-05
1.698,0.73351,1.00008,0.00378199,7.70348e-05
1.699,0.733534,1.00008,0.00380615,7.67455e-05
1.7,0.733558,1.00008,0.00383021,7.64559e-05
1.701,0.733582,1.00008,0.00385418,7.61661e-05
1.702,0.733606,1.00008,0.00387807,7.58759e-05
1.703,0.73363,1.00008,0.00390186,7.55855e-05
1.704,0.733653,1.00008,0.00392556,7.52949e-05
1.705,0.733677,1.00008,0.00394917,7.5004e-05
1.706,0.7337,1.00007,0.00397269,7.47128e-05
1.707,0.733724,1.00007,0.00399611,7.44214e-05
1.708,0.733747,1.00007,0.00401945,7.41297e-05
1.709,0.73377,1.00007,0.00404269,7.38378e-05
1.71,0.733793,1.00007,0.00406584,7.35456e-05
1.711,0.733817,1.00007,0.0040889,7.32532e-05
1.712,0.73384,1.00007,0.00411187,7.29605e-05
1.713,0.733862,1.00007,0.00413474,7.26677e-05
1.714,0.733885,1.00007,0.00415752,7.23746e-05
1.715,0.733908,1.00007,0.00418021,7.20812e-05
1.716,0.73393,1.00007,0.00420281,7.17877e-05
1.717,0.733953,1.00007,0.00422532,7.14939e-05
1.718,0.733975,1.00007,0.00424773,7.11999e-05
1.719,0.733998,1.00007,0.00427006,7.09057e-05
1.72,0.73402,1.00007,0.00429229,7.06114e-05
1.721,0.734042,1.00007,0.00431442,7.03168e-05
1.722,0.734064,1.00007,0.00433647,7.0022e-05
1.723,0.734086,1.00007,0.00435842,6.9727e-05
1.724,0.734108,1.00007,0.00438028,6.94318e-05
1.725,0.73413,1.00007,0.00440204,6.91365e-05
1.726,0.734151,1.00007,0.00442372,6.88409e-05
1.727,0.734173,1.00007,0.0044453,6.85452e-05
1.728,0.734194,1.00007,0.00446679,6.82493e-05
1.729,0.734216,1.00007,0.00448818,6.79532e-05
1.73,0.734237,1.00007,0.00450948,6.7657e-05
1.731,0.734258,1.00007,0.00453069,6.73606e-05
1.732,0.734279,1.00007,0.00455181,6.7064e-05
1.733,0.7343,1.00007,0.00457283,6.67673e-05
1.734,0.734321,1.00007,0.00459376,6.64704e-05
1.735,0.734342,1.00007,0.00461459,6.61734e-05
1.736,0.734363,1.00007,0.00463534,6.58762e-05
1.737,0.734384,1.00007,0.00465598,6.55789e-05
1.738,0.734404,1.00007,0.00467654,6.52814e-05
1.739,0.734425,1.00006,0.004697,6.49838e-05
1.74,0.734445,1.00006,0.00471737,6.46861e-05
1.741,0.734465,1.00006,0.00473765,6.43882e-05
1.742,0.734485,1.00006,0.00475783,6.40903e-05
1.743,0.734506,1.00006,0.00477791,6.37922e-05
1.744,0.734526,1.00006,0.00479791,6.3494e-05
1.745,0.734545,1.00006,0.00481781,6.31956e-05
1.746,0.734565,1.00006,0.00483762,6.28972e-05
1.747,0.734585,1.00006,0.00485733,6.25986e-05
1.748,0.734605,1.00006,0.00487695,6.23e-05
1.749,0.734624,1.00006,0.00489647,6.20012e-05
1.75,0.734644,1.00006,0.0049159,6.17024e-05
1.751,0.734663,1.00006,0.00493524,6.14034e-05
1.752,0.734682,1.00006,0.00495448,6.11044e-05
1.753,0.734701,1.00006,0.00497363,6.08053e-05
1.754,0.73472,1.00006,0.00499269,6.05061e-05
1.755,0.734739,1.00006,0.00501165,6.02068e-05
1.756,0.734758,1.00006,0.00503052,5.99075e-05
1.757,0.734777,1.00006,0.00504929,5.96081e-05
1.758,0.734796,1.00006,0.00506797,5.93086e-05
1.759,0.734814,1.00006,0.00508656,5.9009e-05
1.76,0.734833,1.00006,0.00510505,5.87094e-05
1.761,0.734851,1.00006,0.00512344,5.84097e-05
1.762,0.734869,1.00006,0.00514175,5.811e-05
1.763,0.734888,1.00006,0.00515996,5.78102e-05
1.764,0.734906,1.00006,0.00517807,5.75104e-05
1.765,0.734924,1.00006,0.00519609,5.72105e-05
1.766,0.734942,1.00006,0.00521402,5.69106e-05
1.767,0.734959,1.00006,0.00523185,5.66107e-05
1.768,0.734977,1.00006,0.00524959,5.63107e-05
1.769,0.734995,1.00006,0.00526723,5.60107e-05
1.77,0.735012,1.00006,0.00528478,5.57107e-05
1.771,0.73503,1.00006,0.00530223,5.54106e-05
1.772,0.735047,1.00006,0.0053196,5.51105e-05
1.773,0.735065,1.00005,0.00533686,5.48104e-05
1.774,0.735082,1.00005,0.00535403,5.45103e-05
1.775,0.735099,1.00005,0.00537111,5.42102e-05
1.776,0.735116,1.00005,0.00538809,5.39101e-05
1.777,0.735133,1.00005,0.00540498,5.361e-05
1.778,0.735149,1.00005,0.00542178,5.33098e-05
1.779,0.735166,1.00005,0.00543848,5.30097e-05
1.78,0.735183,1.00005,0.00545509,5.27096e-05
1.781,0.735199,1.00005,0.0054716,5.24095e-05
1.782,0.735216,1.00005,0.00548802,5.21094e-05
1.783,0.735232,1.00005,0.00550434,5.18093e-05
1.784,0.735248,1.00005,0.00552057,5.15093e-05
1.785,0.735264,1.00005,0.0055367,5.12093e-05
1.786,0.73528,1.00005,0.00555274,5.09093e-05
1.787,0.735296,1.00005,0.00556869,5.06093e-05
1.788,0.735312,1.00005,0.00558454,5.03093e-05
1.789,0.735328,1.00005,0.0056003,5.00094e-05
1.79,0.735344,1.00005,0.00561596,4.97096e-05
1.791,0.735359,1.00005,0.00563153,4.94098e-05
1.792,0.735375,1.00005,0.00564701,4.911e-05
1.793,0.73539,1.00005,0.00566239,4.88103e-05
1.794,0.735405,1.00005,0.00567768,4.85106e-05
1.795,0.735421,1.00005,0.00569287,4.8211e-05
1.796,0.735436,1.00005,0.00570797,4.79115e-05
1.797,0.735451,1.00005,0.00572297,4.7612e-05
1.798,0.735466,1.00005,0.00573789,4.73126e-05
1.799,0.73548,1.00005,0.0057527,4.70132e-05
1.8,0.735495,1.00005,0.00576742,4.6714e-05
1.801,0.73551,1.00005,0.00578205,4.64148e-05
1.802,0.735524,1.00005,0.00579659,4.61156e-05
1.803,0.735539,1.00005,0.00581103,4.58166e-05
1.804,0.735553,1.00005,0.00582538,4.55177e-05
1.805,0.735567,1.00005,0.00583963,4.52188e-05
1.806,0.735581,1.00004,0.00585379,4.492e-05
1.807,0.735596,1.00004,0.00586785,4.46214e-05
1.808,0.735609,1.00004,0.00588182,4.43228e-05
1.809,0.735623,1.00004,0.0058957,4.40243e-05
1.81,0.735637,1.00004,0.00590949,4.37259e-05
1.811,0.735651,1.00004,0.00592318,4.34277e-05
1.812,0.735664,1.00004,0.00593677,4.31295e-05
1.813,0.735678,1.00004,0.00595027,4.28315e-05
1.814,0.735691,1.00004,0.00596368,4.25336e-05
1.815,0.735705,1.00004,0.005977,4.22358e-05
1.816,0.735718,1.00004,0.00599022,4.19381e-05
1.817,0.735731,1.00004,0.00600335,4.16405e-05
1.818,0.735744,1.00004,0.00601638,4.13431e-05
1.819,0.735757,1.00004,0.00602933,4.10458e-05
1.82,0.73577,1.00004,0.00604217,4.07487e-05
1.821,0.735783,1.00004,0.00605493,4.04517e-05
1.822,0.735795,1.00004,0.00606759,4.01548e-05
1.823,0.735808,1.00004,0.00608016,3.98581e-05
1.824,0.73582,1.00004,0.00609263,3.95615e-05
1.825,0.735833,1.00004,0.00610502,3.92651e-05
1.826,0.735845,1.00004,0.00611731,3.89688e-05
1.827,0.735857,1.00004,0.0061295,3.86727e-05
1.828,0.735869,1.00004,0.0061416,3.83767e-05
1.829,0.735881,1.00004,0.00615361,3.80809e-05
1.83,0.735893,1.00004,0.00616553,3.77853e-05
1.831,0.735905,1.00004,0.00617736,3.74898e-05
1.832,0.735917,1.00004,0.00618909,3.71945e-05
1.833,0.735928,1.00004,0.00620073,3.68994e-05
1.834,0.73594,1.00004,0.00621227,3.66045e-05
1.835,0.735951,1.00004,0.00622372,3.63097e-05
1.836,0.735963,1.00004,0.00623509,3.60152e-05
